Trials ,100000000, Threads ,1, pi ,3.14161496, error ,0.0000071, time (sec) ,1.005,1,1
Trials ,100000000, Threads ,2, pi ,3.14170228, error ,0.0000349, time (sec) ,0.5212,1.92824251726784,0.964121258633922
Trials ,100000000, Threads ,4, pi ,3.14159108, error ,0.000000501, time (sec) ,0.2709,3.70985603543743,0.927464008859358
Trials ,100000000, Threads ,8, pi ,3.14159476, error ,0.00000067, time (sec) ,0.1463,6.86944634313055,0.858680792891319
Trials ,100000000, Threads ,16, pi ,3.14152912, error ,0.0000202, time (sec) ,0.0835,12.0359281437126,0.752245508982036
Trials ,100000000, Threads ,32, pi ,3.14159012, error ,0.000000806, time (sec) ,0.052,19.3269230769231,0.603966346153846
Trials ,100000000, Threads ,64, pi ,3.14135124, error ,0.0000768, time (sec) ,0.039,25.7692307692308,0.402644230769231
Trials ,100000000, Threads ,128, pi ,3.14292992, error ,0.000426, time (sec) ,0.0296,33.9527027027027,0.265255489864865
Trials ,100000000, Threads ,256, pi ,3.14129952, error ,0.0000933, time (sec) ,0.0289,34.7750865051903,0.1358401816609
Trials ,100000000, Threads ,512, pi ,3.14684508, error ,0.00167, time (sec) ,0.0311,32.3151125401929,0.0631154541800643
Trials ,100000000, Threads ,1024, pi ,3.1514026, error ,0.00312, time (sec) ,0.0382,26.3089005235602,0.0256922856675393
Maximum number of threads allowed: 1024.,,,,,,,,,,,
Maximum number of threads allowed: 1024.,,,,,,,,,,,
Maximum number of threads allowed: 1024.,,,,,,,,,,,
